timestamp,noiseLevel
2025-03-17T23:25:08,39.4
2025-03-17T23:25:19,39.4
2025-03-17T23:25:30,39.4
2025-03-17T23:25:33,0
2025-03-17T23:25:35,31.6
2025-03-17T23:25:43,38.4
2025-03-17T23:25:54,38.6
2025-03-17T23:26:04,39.6
2025-03-17T23:26:14,38.8
2025-03-17T23:26:24,38.8
2025-03-17T23:26:34,38.4
2025-03-17T23:26:35,38.6
2025-03-17T23:26:44,49.2
2025-03-17T23:26:55,41
2025-03-17T23:27:06,37.4
2025-03-17T23:27:17,38.2
2025-03-17T23:27:27,37.8
2025-03-17T23:27:35,37.2
2025-03-17T23:27:38,37.2
2025-03-17T23:27:48,45.4
2025-03-17T23:28:35,38.4
2025-03-17T23:28:35,38.4
2025-03-17T23:29:35,40.8
2025-03-17T23:29:35,40.8
2025-03-17T23:30:35,39
2025-03-17T23:30:35,39
2025-03-17T23:31:35,38.2
2025-03-17T23:31:35,38.2
2025-03-17T23:31:56,39
2025-03-17T23:32:00,0
2025-03-17T23:32:10,38.2
2025-03-17T23:32:20,39
2025-03-17T23:32:30,38
2025-03-17T23:32:35,38
2025-03-17T23:32:40,38.4
2025-03-17T23:32:51,38.8
2025-03-17T23:33:01,38.6
2025-03-17T23:33:11,39.2
2025-03-17T23:33:21,39.8
2025-03-17T23:33:31,39.4
2025-03-17T23:33:35,39.2
2025-03-17T23:33:41,39.6
2025-03-17T23:34:35,39.2
2025-03-17T23:34:35,39.2
2025-03-17T23:35:35,38.8
2025-03-17T23:35:35,38.8
2025-03-17T23:36:35,39.4
2025-03-17T23:36:35,39.4
2025-03-17T23:37:35,39
2025-03-17T23:37:35,39
2025-03-17T23:38:35,38.2
2025-03-17T23:38:35,38.2
2025-03-17T23:39:35,39.2
2025-03-17T23:39:35,39.2
2025-03-17T23:40:35,38
2025-03-17T23:40:35,38
2025-03-17T23:41:35,37.8
2025-03-17T23:41:35,37.8
2025-03-17T23:42:35,37.8
2025-03-17T23:42:35,37.8
2025-03-17T23:43:35,38.6
2025-03-17T23:43:35,38.6
2025-03-17T23:44:35,40.6
2025-03-17T23:44:35,40.6
2025-03-17T23:45:35,39.6
2025-03-17T23:45:35,39.6
2025-03-17T23:46:35,39
2025-03-17T23:46:35,39
2025-03-17T23:47:35,43.6
2025-03-17T23:47:35,43.6
2025-03-17T23:48:35,40.2
2025-03-17T23:48:35,40.2
2025-03-17T23:49:09,39.4
2025-03-17T23:49:20,38.6
2025-03-17T23:49:31,39.2
2025-03-17T23:49:35,39.4
2025-03-17T23:49:41,39.2
2025-03-17T23:49:52,38
2025-03-17T23:50:02,39.2
2025-03-17T23:50:12,39
2025-03-17T23:50:35,40
2025-03-17T23:50:35,40
2025-03-17T23:51:35,38
2025-03-17T23:51:35,38
2025-03-17T23:52:35,38.6
2025-03-17T23:52:35,38.6
2025-03-17T23:53:35,41.6
2025-03-17T23:53:35,41.6
2025-03-17T23:54:35,40
2025-03-17T23:54:35,40
2025-03-17T23:55:35,37.8
2025-03-17T23:55:35,37.8
2025-03-17T23:56:35,40.4
2025-03-17T23:56:35,40.4
2025-03-17T23:57:22,39.6
2025-03-17T23:57:33,38.6
2025-03-17T23:57:35,38.4
2025-03-17T23:57:43,38.6
2025-03-17T23:57:54,38.8
2025-03-17T23:58:04,38.8
2025-03-17T23:58:15,39
2025-03-17T23:58:25,38
2025-03-17T23:58:35,39.2
2025-03-17T23:58:35,39.2
2025-03-17T23:59:35,39.2
2025-03-17T23:59:35,39.2
